iter,loss,cos_to_init,cos_to_prev,eff_dim,lat_low,lat_mid,lat_high,ks_stat,ks_p,wasserstein1,kl_div,acorr_lag1,acorr_sum
84,0.011330,0.998542,1.000000,65525.609375,0.015723275,0.1254549,0.85882187,0.001358,0.861202,0.004535,0.000451,-0.000141,0.006338
85,0.011319,0.998528,1.000000,65525.750000,0.015727742,0.12545419,0.8588181,0.001353,0.863963,0.002797,0.000463,-0.000137,0.006347
86,0.011311,0.998515,1.000000,65525.906250,0.015732283,0.12545346,0.85881424,0.001362,0.858601,0.001979,0.000468,-0.000132,0.006356
87,0.011302,0.998501,1.000000,65526.070312,0.015736904,0.12545276,0.8588103,0.001342,0.870012,0.003729,0.000462,-0.000128,0.006365
88,0.011292,0.998487,1.000000,65526.242188,0.015741592,0.12545204,0.8588064,0.001324,0.880246,0.003929,0.000456,-0.000123,0.006373
89,0.011282,0.998473,1.000000,65526.398438,0.015746348,0.12545133,0.8588023,0.001320,0.882649,0.002639,0.000449,-0.000118,0.006381
90,0.011272,0.998460,1.000000,65526.562500,0.015751174,0.12545066,0.85879815,0.001329,0.877621,0.002721,0.000435,-0.000113,0.006388
91,0.011263,0.998446,1.000000,65526.710938,0.015756072,0.12544994,0.858794,0.001312,0.886797,0.003222,0.000434,-0.000109,0.006395
92,0.011255,0.998433,1.000000,65526.867188,0.015761059,0.12544926,0.8587897,0.001328,0.878439,0.003135,0.000438,-0.000104,0.006401
93,0.011248,0.998419,1.000000,65527.031250,0.015766138,0.12544854,0.85878533,0.001308,0.889122,0.003336,0.000429,-0.000099,0.006416
94,0.011241,0.998406,1.000000,65527.171875,0.015771328,0.12544787,0.85878086,0.001302,0.892370,0.004248,0.000435,-0.000093,0.006431
95,0.011234,0.998393,1.000000,65527.312500,0.015776623,0.12544717,0.8587762,0.001327,0.878962,0.003881,0.000442,-0.000088,0.006447
96,0.011228,0.998380,1.000000,65527.421875,0.01578204,0.12544645,0.85877144,0.001330,0.876905,0.004166,0.000426,-0.000083,0.006462
97,0.011222,0.998366,1.000000,65527.554688,0.015787577,0.12544577,0.8587667,0.001332,0.875871,0.002806,0.000421,-0.000077,0.006479
98,0.011216,0.998353,1.000000,65527.656250,0.015793232,0.12544505,0.85876167,0.001325,0.879894,0.005378,0.000422,-0.000071,0.006496
99,0.011211,0.998340,1.000000,65527.757812,0.01579901,0.12544434,0.8587567,0.001324,0.880192,0.002184,0.000427,-0.000066,0.006514
100,0.011207,0.998327,1.000000,65527.867188,0.01580492,0.1254436,0.8587515,0.001361,0.859301,0.002731,0.000422,-0.000060,0.006534
101,0.011203,0.998313,1.000000,65527.960938,0.015810972,0.12544285,0.85874623,0.001371,0.852894,0.002365,0.000428,-0.000053,0.006555
102,0.011199,0.998300,1.000000,65528.039062,0.015817178,0.12544207,0.85874075,0.001358,0.860810,0.003373,0.000435,-0.000047,0.006577
103,0.011195,0.998286,1.000000,65528.109375,0.015823567,0.12544128,0.85873514,0.001373,0.851673,0.003399,0.000449,-0.000041,0.006600
104,0.011191,0.998273,1.000000,65528.171875,0.01583016,0.12544046,0.85872936,0.001363,0.858039,0.003733,0.000448,-0.000034,0.006625
105,0.011187,0.998260,1.000000,65528.234375,0.015836978,0.12543963,0.8587234,0.001379,0.848414,0.002802,0.000470,-0.000027,0.006651
