iteration,psnr,ssim,lpips,loss,latent_ks_stat,latent_ks_p,latent_sw_stat,latent_sw_p,freq_low_frac,freq_mid_frac,freq_high_frac,img_low_frac,img_mid_frac,img_high_frac
800,24.9489,0.6000,0.1469,0.010894,0.0017,0.6553,0.9996,0.4863,0.029275,0.124585,0.846140,0.967055,0.025531,0.007415
810,24.9246,0.5982,0.1485,0.010893,0.0017,0.6460,0.9996,0.4892,0.029424,0.124589,0.845988,0.966936,0.025607,0.007457
820,24.9156,0.5973,0.1485,0.010892,0.0017,0.6327,0.9996,0.4922,0.029571,0.124593,0.845836,0.966842,0.025662,0.007496
830,24.9036,0.5963,0.1490,0.010891,0.0017,0.6444,0.9996,0.4950,0.029718,0.124597,0.845685,0.966754,0.025714,0.007532
840,24.8748,0.5941,0.1509,0.010891,0.0017,0.6185,0.9996,0.4972,0.029863,0.124601,0.845536,0.966611,0.025810,0.007579
850,24.8634,0.5931,0.1513,0.010890,0.0017,0.5838,0.9996,0.4997,0.030007,0.124606,0.845387,0.966517,0.025866,0.007617
860,24.8503,0.5920,0.1519,0.010889,0.0018,0.5739,0.9996,0.5018,0.030151,0.124611,0.845238,0.966412,0.025930,0.007658
870,24.8373,0.5909,0.1524,0.010888,0.0018,0.5560,0.9996,0.5029,0.030293,0.124617,0.845090,0.966319,0.025987,0.007694
880,24.8252,0.5899,0.1526,0.010887,0.0017,0.5890,0.9996,0.5031,0.030434,0.124622,0.844943,0.966214,0.026049,0.007737
890,24.7982,0.5878,0.1544,0.010886,0.0017,0.6130,0.9996,0.5026,0.030574,0.124629,0.844797,0.966079,0.026141,0.007779
900,24.7834,0.5866,0.1552,0.010886,0.0018,0.5563,0.9996,0.5017,0.030713,0.124635,0.844652,0.965968,0.026213,0.007820
910,24.7667,0.5853,0.1561,0.010885,0.0019,0.4977,0.9996,0.5007,0.030850,0.124642,0.844508,0.965856,0.026284,0.007860
920,24.7522,0.5841,0.1565,0.010884,0.0019,0.4710,0.9996,0.4986,0.030986,0.124650,0.844365,0.965752,0.026350,0.007898
930,24.7384,0.5830,0.1572,0.010883,0.0020,0.4382,0.9996,0.4960,0.031119,0.124658,0.844223,0.965651,0.026413,0.007936
940,24.7176,0.5816,0.1582,0.010883,0.0019,0.4763,0.9996,0.4923,0.031252,0.124667,0.844081,0.965510,0.026507,0.007983
950,24.7083,0.5807,0.1586,0.010882,0.0020,0.4400,0.9996,0.4878,0.031383,0.124676,0.843941,0.965422,0.026560,0.008018
960,24.6915,0.5794,0.1594,0.010881,0.0020,0.4185,0.9996,0.4829,0.031513,0.124686,0.843801,0.965300,0.026641,0.008059
970,24.6685,0.5778,0.1605,0.010880,0.0019,0.4602,0.9996,0.4774,0.031640,0.124696,0.843663,0.965173,0.026730,0.008098
980,24.6539,0.5767,0.1610,0.010880,0.0019,0.4508,0.9996,0.4721,0.031767,0.124708,0.843526,0.965065,0.026799,0.008136
990,24.6476,0.5761,0.1609,0.010879,0.0020,0.3874,0.9996,0.4665,0.031892,0.124719,0.843389,0.964971,0.026852,0.008177
