iter,loss,low_norm,mid_norm,high_norm,low_frac,mid_frac,high_frac
213,0.011012,0.338956,0.039847,0.065452,0.951378,0.013148,0.035474
214,0.011012,0.337851,0.039766,0.065461,0.951116,0.013177,0.035707
215,0.011011,0.336784,0.039717,0.065462,0.950852,0.013224,0.035924
216,0.011010,0.335509,0.039696,0.065355,0.950621,0.013308,0.036071
217,0.011010,0.334503,0.039632,0.065392,0.950341,0.013340,0.036319
218,0.011009,0.333387,0.039566,0.065288,0.950178,0.013383,0.036439
219,0.011008,0.332329,0.039491,0.065279,0.949934,0.013413,0.036652
220,0.011008,0.331099,0.039427,0.065318,0.949579,0.013465,0.036956
221,0.011007,0.330034,0.039384,0.065307,0.949310,0.013519,0.037171
222,0.011007,0.329037,0.039288,0.065313,0.949074,0.013531,0.037395
223,0.011006,0.328016,0.039237,0.065241,0.948886,0.013577,0.037537
224,0.011005,0.326766,0.039231,0.065327,0.948423,0.013671,0.037907
225,0.011005,0.325779,0.039243,0.065252,0.948201,0.013759,0.038040
226,0.011004,0.324984,0.039070,0.065106,0.948239,0.013705,0.038056
227,0.011004,0.323923,0.039110,0.065165,0.947823,0.013817,0.038359
228,0.011003,0.322865,0.039091,0.065224,0.947445,0.013889,0.038666
229,0.011002,0.321746,0.039033,0.065256,0.947102,0.013939,0.038959
230,0.011002,0.320745,0.038908,0.065172,0.946969,0.013934,0.039096
231,0.011001,0.319703,0.038898,0.065121,0.946707,0.014015,0.039279
232,0.011001,0.318615,0.038926,0.065151,0.946307,0.014125,0.039568
233,0.011000,0.317630,0.038901,0.065144,0.946017,0.014190,0.039793
234,0.011000,0.316685,0.038816,0.065099,0.945823,0.014209,0.039968
235,0.010999,0.315673,0.038811,0.065131,0.945461,0.014292,0.040247
236,0.010999,0.314871,0.038780,0.065137,0.945212,0.014338,0.040450
237,0.010998,0.313895,0.038848,0.065135,0.944844,0.014472,0.040684
238,0.010998,0.312915,0.038691,0.065146,0.944615,0.014442,0.040943
239,0.010997,0.311898,0.038683,0.065136,0.944292,0.014525,0.041184
240,0.010996,0.310974,0.038665,0.065148,0.943976,0.014593,0.041431
241,0.010996,0.310057,0.038628,0.065018,0.943847,0.014650,0.041503
242,0.010995,0.309238,0.038491,0.065100,0.943565,0.014618,0.041817
243,0.010995,0.308278,0.038460,0.065043,0.943324,0.014682,0.041994
244,0.010994,0.307247,0.038463,0.065048,0.942957,0.014778,0.042265
245,0.010994,0.306357,0.038407,0.065007,0.942736,0.014817,0.042447
246,0.010994,0.305509,0.038471,0.064966,0.942439,0.014944,0.042617
247,0.010993,0.304602,0.038357,0.065040,0.942107,0.014939,0.042954
248,0.010993,0.303735,0.038347,0.065011,0.941839,0.015012,0.043149
249,0.010992,0.302804,0.038369,0.064988,0.941515,0.015117,0.043368
250,0.010992,0.302078,0.038333,0.064961,0.941311,0.015158,0.043531
251,0.010991,0.301233,0.038364,0.064936,0.941009,0.015263,0.043728
252,0.010991,0.300269,0.038341,0.064922,0.940688,0.015338,0.043975
253,0.010990,0.299680,0.038188,0.064913,0.940595,0.015274,0.044131
254,0.010990,0.298695,0.038284,0.064904,0.940165,0.015445,0.044391
255,0.010989,0.297886,0.038241,0.064904,0.939891,0.015490,0.044619
256,0.010989,0.297027,0.038064,0.064868,0.939747,0.015433,0.044820
257,0.010989,0.296272,0.038106,0.064874,0.939417,0.015541,0.045042
258,0.010988,0.295389,0.038115,0.064901,0.939035,0.015634,0.045331
259,0.010988,0.294517,0.038144,0.064781,0.938830,0.015747,0.045422
260,0.010987,0.293794,0.038102,0.064884,0.938444,0.015784,0.045772
261,0.010987,0.293110,0.038009,0.064870,0.938266,0.015778,0.045956
262,0.010986,0.292152,0.038026,0.064853,0.937895,0.015889,0.046216
263,0.010986,0.291265,0.038014,0.064899,0.937487,0.015969,0.046544
264,0.010986,0.290534,0.037920,0.064849,0.937334,0.015968,0.046699
265,0.010985,0.289641,0.037969,0.064984,0.936748,0.016098,0.047154
266,0.010985,0.288976,0.037942,0.064913,0.936594,0.016146,0.047260
267,0.010984,0.288398,0.037897,0.064897,0.936413,0.016169,0.047417
268,0.010984,0.287501,0.037839,0.064869,0.936127,0.016216,0.047657
269,0.010984,0.286855,0.037884,0.064868,0.935823,0.016322,0.047855
270,0.010983,0.286049,0.037860,0.064791,0.935610,0.016390,0.048000
271,0.010983,0.285302,0.037858,0.064804,0.935278,0.016468,0.048254
272,0.010982,0.284490,0.037808,0.064819,0.934952,0.016513,0.048535
273,0.010982,0.283894,0.037724,0.064724,0.934899,0.016508,0.048593
274,0.010982,0.283163,0.037716,0.064745,0.934560,0.016580,0.048860
275,0.010981,0.282401,0.037704,0.064821,0.934132,0.016652,0.049216
276,0.010981,0.281615,0.037704,0.064783,0.933844,0.016739,0.049417
277,0.010981,0.280899,0.037669,0.064844,0.933470,0.016786,0.049744
278,0.010980,0.280258,0.037583,0.064849,0.933250,0.016783,0.049967
279,0.010980,0.279634,0.037552,0.064798,0.933072,0.016826,0.050102
280,0.010980,0.278955,0.037642,0.064749,0.932762,0.016984,0.050254
281,0.010979,0.278315,0.037700,0.064729,0.932453,0.017110,0.050437
282,0.010979,0.277699,0.037622,0.064834,0.932086,0.017108,0.050806
283,0.010979,0.276989,0.037621,0.064765,0.931863,0.017191,0.050946
284,0.010978,0.276344,0.037600,0.064739,0.931624,0.017247,0.051129
285,0.010978,0.275632,0.037578,0.064744,0.931306,0.017310,0.051384
286,0.010978,0.274931,0.037512,0.064803,0.930948,0.017330,0.051721
287,0.010977,0.274213,0.037615,0.064717,0.930650,0.017512,0.051838
288,0.010977,0.273515,0.037551,0.064799,0.930253,0.017534,0.052213
