iter,loss,cos_to_init,cos_to_prev,eff_dim,lat_low,lat_mid,lat_high,ks_stat,ks_p,wasserstein1,kl_div,acorr_lag1,acorr_sum,psnr,ssim,lpips
142,0.011089,0.997792,1.000000,65531.109375,0.016108876,0.12541151,0.8584796,0.001459,0.795982,0.002710,0.000498,0.000254,0.008052,,,
143,0.011087,0.997777,1.000000,65531.070312,0.01611956,0.12541024,0.8584702,0.001440,0.809129,0.003489,0.000504,0.000264,0.008108,,,
144,0.011085,0.997762,1.000000,65531.046875,0.01613041,0.12540898,0.8584606,0.001422,0.820891,0.003999,0.000500,0.000275,0.008164,,,
145,0.011084,0.997747,1.000000,65530.992188,0.016141424,0.12540771,0.8584509,0.001418,0.823432,0.003299,0.000505,0.000287,0.008222,,,
146,0.011082,0.997732,1.000000,65530.953125,0.016152604,0.12540637,0.858441,0.001427,0.817484,0.005513,0.000502,0.000298,0.008279,,,
147,0.011081,0.997716,1.000000,65530.921875,0.016163945,0.12540504,0.858431,0.001414,0.826301,0.002739,0.000508,0.000309,0.008338,,,
148,0.011079,0.997701,1.000000,65530.875000,0.016175449,0.12540369,0.85842085,0.001412,0.827721,0.002388,0.000509,0.000321,0.008398,,,
149,0.011077,0.997686,1.000000,65530.820312,0.016187103,0.12540232,0.85841054,0.001430,0.815736,0.004710,0.000519,0.000333,0.008458,,,
150,0.011076,0.997671,1.000000,65530.789062,0.016198907,0.12540093,0.8584001,0.001399,0.835668,0.003146,0.000519,0.000345,0.008519,24.866943,0.6342719,0.127176
151,0.011074,0.997655,1.000000,65530.734375,0.016210858,0.12539953,0.8583896,0.001409,0.829590,0.002449,0.000503,0.000357,0.008580,,,
152,0.011073,0.997640,1.000000,65530.695312,0.016222952,0.12539808,0.858379,0.001423,0.820489,0.004887,0.000492,0.000369,0.008643,,,
153,0.011071,0.997624,1.000000,65530.656250,0.01623518,0.12539665,0.85836816,0.001427,0.817552,0.005741,0.000486,0.000382,0.008706,,,
154,0.011070,0.997609,1.000000,65530.585938,0.016247548,0.1253952,0.85835725,0.001399,0.835602,0.002965,0.000484,0.000394,0.008769,,,
155,0.011068,0.997593,1.000000,65530.539062,0.016260043,0.12539372,0.8583462,0.001405,0.831610,0.003556,0.000482,0.000407,0.008834,,,
156,0.011067,0.997577,1.000000,65530.492188,0.016272668,0.12539224,0.8583351,0.001407,0.830520,0.003503,0.000490,0.000420,0.008898,,,
157,0.011066,0.997562,1.000000,65530.445312,0.016285412,0.12539072,0.8583239,0.001402,0.833935,0.005081,0.000488,0.000432,0.008964,,,
158,0.011064,0.997546,1.000000,65530.390625,0.016298277,0.12538922,0.8583125,0.001404,0.832481,0.003302,0.000478,0.000445,0.009030,,,
159,0.011063,0.997530,1.000000,65530.328125,0.016311262,0.1253877,0.85830104,0.001384,0.844909,0.004116,0.000475,0.000459,0.009096,,,
160,0.011062,0.997514,1.000000,65530.265625,0.016324356,0.12538613,0.8582895,0.001376,0.849857,0.003256,0.000474,0.000472,0.009163,24.922293,0.63594365,0.125773
161,0.011060,0.997498,1.000000,65530.234375,0.016337562,0.1253846,0.85827786,0.001353,0.863704,0.004324,0.000483,0.000485,0.009230,,,
162,0.011059,0.997482,1.000000,65530.171875,0.01635087,0.12538302,0.8582661,0.001341,0.870940,0.002095,0.000491,0.000499,0.009298,,,
163,0.011058,0.997466,1.000000,65530.125000,0.016364278,0.12538144,0.85825425,0.001350,0.865389,0.003159,0.000491,0.000512,0.009366,,,
164,0.011056,0.997450,1.000000,65530.062500,0.01637779,0.12537985,0.8582424,0.001368,0.855107,0.003217,0.000485,0.000526,0.009434,,,
165,0.011055,0.997434,1.000000,65530.000000,0.01639141,0.12537827,0.85823035,0.001359,0.860505,0.003871,0.000489,0.000540,0.009503,,,
166,0.011054,0.997418,1.000000,65529.945312,0.016405134,0.12537664,0.85821825,0.001390,0.841496,0.002276,0.000502,0.000554,0.009572,,,
167,0.011053,0.997402,1.000000,65529.875000,0.016418962,0.12537503,0.858206,0.001379,0.848278,0.002992,0.000510,0.000568,0.009641,,,
168,0.011052,0.997386,1.000000,65529.812500,0.016432902,0.1253734,0.8581937,0.001372,0.852394,0.002830,0.000510,0.000582,0.009711,,,
169,0.011050,0.997369,1.000000,65529.742188,0.01644695,0.12537174,0.85818136,0.001356,0.862260,0.002535,0.000502,0.000596,0.009782,,,
170,0.011049,0.997353,1.000000,65529.687500,0.016461113,0.12537009,0.85816884,0.001370,0.853480,0.005845,0.000504,0.000611,0.009852,24.973808,0.63725686,0.124604
171,0.011048,0.997336,1.000000,65529.625000,0.016475387,0.12536839,0.8581562,0.001360,0.859530,0.003802,0.000498,0.000625,0.009923,,,
172,0.011047,0.997320,1.000000,65529.539062,0.016489778,0.1253667,0.8581435,0.001344,0.868863,0.004075,0.000492,0.000640,0.009995,,,
173,0.011046,0.997303,1.000000,65529.476562,0.01650428,0.125365,0.8581307,0.001340,0.871327,0.002601,0.000486,0.000654,0.010067,,,
174,0.011045,0.997287,1.000000,65529.398438,0.016518898,0.12536329,0.8581178,0.001373,0.852121,0.002926,0.000489,0.000669,0.010140,,,
175,0.011044,0.997270,1.000000,65529.328125,0.016533626,0.12536156,0.85810477,0.001369,0.854370,0.002405,0.000484,0.000684,0.010215,,,
176,0.011043,0.997254,1.000000,65529.250000,0.016548466,0.12535982,0.8580917,0.001365,0.856558,0.003590,0.000477,0.000699,0.010295,,,
177,0.011042,0.997237,1.000000,65529.171875,0.016563417,0.12535807,0.85807854,0.001389,0.842349,0.004164,0.000480,0.000714,0.010375,,,
178,0.011040,0.997220,1.000000,65529.101562,0.016578477,0.12535632,0.85806525,0.001371,0.853136,0.004149,0.000484,0.000729,0.010457,,,
